player,Pos,Team_Currently_With,Age_At_Signing,Start_Year,End_Year,Yrs,Value,Average_Salary,Guarantee_at_Sign,Practical_Guarantee,contract_date
justin jefferson,WR,MIN  MIN,25,2024,2028,4,"$140,000,000","$35,000,000","$88,743,000","$110,000,000",2024-06-24
ceedee lamb,WR,DAL  DAL,25,2024,2029,4,"$136,000,000","$34,000,000","$67,000,000","$100,000,000",2024-08-26
amon-ra st brown,WR,DET  DET,24,2024,2028,4,"$120,010,000","$30,002,500","$34,666,000","$77,000,000",2024-04-15
brandon aiyuk,WR,SF  SF,26,2024,2028,4,"$120,000,000","$30,000,000","$45,000,000","$76,000,000",2024-08-15
dj moore,WR,CHI  CHI,27,2024,2029,4,"$110,000,000","$27,500,000","$43,650,000","$81,525,000",2024-07-31
aj brown,WR,PHI  PHI,26,2024,2029,3,"$96,000,000","$32,000,000","$51,000,000","$84,000,000",2024-04-15
calvin ridley,WR,TEN  TEN,29,2024,2027,4,"$92,000,000","$23,000,000","$46,980,000","$50,000,000",2024-03-15
tyreek hill,WR,MIA  MIA,30,2024,2026,3,"$90,000,000","$30,000,000","$54,000,000","$59,000,000",2024-08-03
